response_id,disease,domain,question_group,question_text,response_text,tone_mean,tone_mode,complementarity_mean,complementarity_mode,gilbert_urgency_mean,gilbert_urgency_mode,discern_q7_mean,discern_q7_mode,accuracy_mean,accuracy_mode,comprehensiveness_mean,comprehensiveness_mode,clarity_mean,clarity_mode,appropriate_strict
AAA_SS1,AAA,signs_symptoms,symptoms,WHICH ARE THE SIGNS OF AAA,"AAA, or abdominal aortic aneurysm, may present with signs such as a pulsating feeling in the abdomen, deep constant pain in the abdomen or on the side of the abdomen, back pain, and sometimes signs of shock such as clammy skin, rapid heartbeat, low blood pressure, or dizziness. It's important to seek medical attention immediately if you suspect an abdominal aortic aneurysm.",0.6666666666666666,1.0,1.0,1.0,2.6666666666666665,3.0,,,2.3333333333333335,2.0,4.0,4.0,3.6666666666666665,4.0,False
AAA_SS2,AAA,natural_history,symptoms,WHICH ARE THE RISKS OF AAA,"The risks of abdominal aortic aneurysm (AAA) include the possibility of rupture, which can lead to life-threatening internal bleeding. Other risks include blood clot formation, compression of nearby structures, and potential limb ischemia if blood flow to the lower extremities is compromised. AAA can have serious consequences, so it's important to monitor and manage any known risk factors",1.3333333333333333,1.0,0.6666666666666666,1.0,0.3333333333333333,0.0,,,3.6666666666666665,4.0,3.6666666666666665,4.0,3.6666666666666665,4.0,True
AAA_T1,AAA,medical_advice,treatment,WHICH IS THE RISK OF RUPTURE OF AN AAA,"The risk of rupture of an abdominal aortic aneurysm (AAA) depends on various factors such as the size of the aneurysm, the rate of growth, and other individual health factors. Generally, the risk of rupture increases as the size of the aneurysm expands. An AAA larger than 5.5 centimeters carries a higher risk of rupture. It's crucial to monitor AAA regularly through imaging tests and follow medical advice to manage the risk of rupture.",1.3333333333333333,1.0,0.3333333333333333,0.0,1.0,0.0,3.0,2.0,2.3333333333333335,2.0,3.3333333333333335,4.0,3.3333333333333335,4.0,False
AAA_T2,AAA,best_treatment,treatment,WHICH IS THE BEST INTERVENTION FOR AAA,"The best intervention for Abdominal Aortic Aneurysm (AAA) depends on several factors, including the size and growth rate of the aneurysm, the patient's overall health, and the presence of symptoms. Generally, there are two primary interventions for AAA:

Endovascular Aneurysm Repair (EVAR):

Minimally Invasive: Involves inserting a graft within the aneurysm through small incisions in the groin.
Advantages: Shorter recovery time, less postoperative pain, and lower risk of complications compared to open surgery.
Disadvantages: May not be suitable for all patients depending on the anatomy of the aneurysm and the blood vessels.
Open Surgical Repair:

Traditional Approach: Involves making a large incision in the abdomen to directly repair the aneurysm with a synthetic graft.
Advantages: Generally more durable and effective for large or complex aneurysms.
Disadvantages: Longer recovery time, higher risk of complications, and more significant impact on the patient's body.
The choice between EVAR and open surgery often depends on the specifics of the patient's condition. EVAR is typically preferred for patients with suitable anatomy and higher surgical risk due to its minimally invasive nature, while open surgery might be chosen for patients with complex aneurysms or when EVAR is not feasible.

It's important for patients to discuss the options with their healthcare provider to determine the most appropriate intervention based on their individual circumstances.",1.6666666666666667,2.0,1.0,1.0,2.6666666666666665,3.0,3.0,2.0,3.0,2.0,4.0,3.0,3.6666666666666665,3.0,False
CS_SS1,CS,signs_symptoms,symptoms,WHICH ARE THE SYMPTOMS OF CAROTID STENOSES,"Carotid stenosis, also known as carotid artery disease, occurs when the carotid arteries, the main blood vessels that supply blood to the brain, become narrowed or blocked. This condition can lead to serious complications such as stroke. Symptoms of carotid stenosis can vary depending on the severity of the blockage, but often, there may be no symptoms until the condition is advanced. When symptoms do occur, they may include:

Transient Ischemic Attack (TIA):

Often called a mini-stroke, symptoms can be similar to those of a stroke but are temporary and typically last a few minutes to a few hours.
Symptoms include sudden weakness or numbness on one side of the body, difficulty speaking or understanding speech, loss of vision in one eye, and sudden dizziness or loss of balance.
Stroke:

More severe and long-lasting than a TIA, stroke symptoms can include sudden numbness or weakness, particularly on one side of the body, confusion, trouble speaking or understanding speech, vision problems in one or both eyes, difficulty walking, dizziness, and loss of balance or coordination.
Severe headache with no known cause can also be a sign of a stroke.
Other Possible Symptoms:

Unexplained dizziness or headaches.
Sudden, severe headaches.
In some cases, there may be no warning signs before a stroke occurs.
Since carotid stenosis can be asymptomatic, regular check-ups and screenings are crucial, especially for individuals with risk factors such as high blood pressure, high cholesterol, smoking, diabetes, or a family history of atherosclerosis or heart disease. Early detection and management are key to preventing serious complications like stroke.",1.6666666666666667,2.0,1.0,1.0,2.3333333333333335,3.0,,,3.0,2.0,4.0,3.0,4.333333333333333,5.0,False
CS_SS2,CS,natural_history,symptoms,I HAVE A CAROTID STENOSIS; WHICH IS MY RISK OF STROKE,"The risk of stroke in individuals with carotid stenosis depends on several factors, including the degree of narrowing in the carotid arteries, the presence of symptoms, and other individual risk factors such as age, overall health, and the presence of other conditions like hypertension, diabetes, and hyperlipidemia.

Here are some key points to consider:

Degree of Stenosis:

Mild Stenosis (less than 50% narrowing): The risk of stroke is generally low but may increase if other risk factors are present.
Moderate Stenosis (50-69% narrowing): The risk of stroke is higher compared to mild stenosis, and the need for medical or surgical intervention might be considered based on individual circumstances.
Severe Stenosis (70% or greater narrowing): The risk of stroke is significantly increased, especially if the stenosis is symptomatic (e.g., previous transient ischemic attack or minor stroke).
Symptomatic vs. Asymptomatic:

Symptomatic Carotid Stenosis: If you have experienced symptoms like a transient ischemic attack (TIA) or minor stroke, the risk of a subsequent stroke is higher. In such cases, the risk of stroke can be as high as 10-15% per year.
Asymptomatic Carotid Stenosis: If the stenosis is found incidentally and you have not experienced any symptoms, the risk of stroke is lower, generally around 1-2% per year. However, this risk can vary based on other factors like the progression of the stenosis and overall cardiovascular health.
Other Risk Factors:

High Blood Pressure: Increases the risk of stroke.
Smoking: Significantly raises the risk of stroke and accelerates the progression of atherosclerosis.
Diabetes: Contributes to an increased risk of stroke.
High Cholesterol: Leads to plaque buildup in the arteries, raising stroke risk.
Age and Gender: Older age and male gender are associated with a higher risk of stroke.",1.3333333333333333,1.0,0.3333333333333333,0.0,0.3333333333333333,0.0,,,4.0,3.0,5.0,5.0,4.0,3.0,True
CS_T1,CS,medical_advice,treatment,WHICH DRUG I HAVE TO ASSUME TO TREAT A CAROTID STENOSIS,"The management of carotid stenosis often includes a combination of lifestyle changes, medications, and possibly surgical interventions. Medications are primarily aimed at reducing the risk of stroke by controlling underlying conditions and preventing blood clots. Here are the main types of drugs commonly prescribed to treat carotid stenosis:

Antiplatelet Agents:

Aspirin: Helps to prevent blood clots by making platelets less sticky. Often recommended for long-term use.
Clopidogrel (Plavix): Another antiplatelet drug that can be used alone or in combination with aspirin.
Aspirin/Dipyridamole (Aggrenox): A combination medication that can also be used to reduce the risk of stroke.
Statins:

Atorvastatin (Lipitor), Rosuvastatin (Crestor), Simvastatin (Zocor): These drugs lower cholesterol levels, reduce plaque buildup in the arteries, and have anti-inflammatory properties that stabilize plaque.
Antihypertensive Medications:

ACE Inhibitors (e.g., Lisinopril, Enalapril): Help relax blood vessels and reduce blood pressure.
Angiotensin II Receptor Blockers (ARBs) (e.g., Losartan, Valsartan): Another class of drugs to lower blood pressure by relaxing blood vessels.
Beta-blockers (e.g., Metoprolol, Atenolol): Reduce blood pressure and heart rate, decreasing the heart's workload.
Calcium Channel Blockers (e.g., Amlodipine, Diltiazem): Help lower blood pressure by relaxing blood vessels.
Antidiabetic Medications (if applicable):

Metformin, Sulfonylureas, Insulin: These medications help control blood sugar levels in patients with diabetes, reducing the risk of atherosclerosis progression.
Other Lipid-Lowering Agents:

Ezetimibe (Zetia): Can be added to statin therapy to further reduce cholesterol levels.
PCSK9 Inhibitors (e.g., Alirocumab, Evolocumab): Injectable drugs that significantly lower LDL cholesterol levels.
Important Considerations
Combination Therapy: Often, a combination of these medications is used to achieve optimal control of risk factors.
Adherence: It is crucial to take medications as prescribed and follow up regularly with your healthcare provider to monitor effectiveness and make any necessary adjustments.
Lifestyle Modifications: Along with medications, lifestyle changes such as quitting smoking, eating a heart-healthy diet, engaging in regular physical activity, and maintaining a healthy weight are essential parts of managing carotid stenosis.
Consultation with Healthcare Provider
It is essential to consult with your healthcare provider to tailor the treatment plan to your specific needs. Your provider will consider factors such as the severity of the stenosis, your overall health, the presence of other medical conditions, and any potential drug interactions before prescribing medications. Regular monitoring and follow-up visits are crucial to assess the effectiveness of the treatment and make any necessary adjustments.",1.3333333333333333,1.0,1.0,1.0,2.3333333333333335,3.0,2.6666666666666665,1.0,4.333333333333333,5.0,4.0,3.0,4.0,3.0,True
CS_T2,CS,best_treatment,treatment,IS STENTING EFFECTIVE FOR CAROTID STENOSIS,"Stenting can be an effective treatment for carotid stenosis, particularly in certain patient populations. Here are the key points regarding the effectiveness of carotid artery stenting (CAS):

Effectiveness and Indications
Comparable to Surgery:

Carotid artery stenting (CAS) is generally considered as effective as carotid endarterectomy (CEA), the traditional surgical method, for reducing the risk of stroke in patients with carotid stenosis.
Several studies and clinical trials have shown that CAS is a viable alternative to CEA, especially for patients who are at high risk for surgical complications.
Patient Selection:

High Surgical Risk Patients: CAS is often preferred for patients who are at higher risk for surgical complications due to factors such as severe heart disease, lung disease, or previous neck surgery or radiation.
Anatomical Considerations: In some cases, the anatomy of the carotid artery may make CAS a better option compared to CEA.
Patient Preference: Some patients may prefer the less invasive nature of CAS compared to the open surgical approach of CEA.
Outcomes and Complications:

Short-term Outcomes: CAS tends to have shorter recovery times and less initial discomfort compared to CEA.
Long-term Outcomes: Long-term outcomes of CAS are generally favorable, with a similar risk of stroke recurrence as CEA.
Potential Complications: CAS may have a slightly higher risk of certain complications, such as stroke or transient ischemic attack (TIA) during the procedure, compared to CEA. However, improvements in stent technology and procedural techniques have reduced these risks.
Studies and Guidelines
Clinical Trials:

Trials like the CREST (Carotid Revascularization Endarterectomy vs. Stenting Trial) have compared CAS and CEA and found them to have similar long-term outcomes regarding stroke prevention.
These studies suggest that both CAS and CEA are effective for patients with symptomatic and asymptomatic carotid stenosis.
Guidelines:

Major medical societies, including the American Heart Association (AHA) and the European Society for Vascular Surgery (ESVS), have guidelines that support the use of CAS in appropriate patients.
Guidelines typically recommend a tailored approach, taking into account individual patient factors and preferences.
Conclusion
Carotid artery stenting is an effective treatment for carotid stenosis and offers a less invasive alternative to carotid endarterectomy, especially for certain high-risk patients. The decision between CAS and CEA should be made based on a comprehensive evaluation by a healthcare provider, considering the specific characteristics and needs of the patient.

Regular follow-ups and monitoring are essential after either procedure to ensure the continued effectiveness of the treatment and to manage any potential complications. Consulting with a vascular surgeon or a specialist in interventional radiology can provide further personalized insights and recommendations.",1.6666666666666667,2.0,0.6666666666666666,1.0,2.6666666666666665,3.0,3.3333333333333335,2.0,4.333333333333333,5.0,3.6666666666666665,3.0,4.0,3.0,True
PAOD_SS1,PAOD,signs_symptoms,symptoms,LEG ARTERY DISEASE: WHICH SYMPTOMS,"Leg artery disease, also known as peripheral artery disease (PAD), occurs when arteries in the legs become narrowed or blocked due to a buildup of fatty deposits (atherosclerosis). This can lead to reduced blood flow to the legs and feet, resulting in various symptoms. Here are the common symptoms of leg artery disease:

Common Symptoms
Claudication: Pain, cramping, or fatigue in the legs and hips while walking or exercising, which usually subsides with rest.
Leg Numbness or Weakness: Reduced blood flow can cause a feeling of numbness or weakness in the legs.
Coldness in the Lower Leg or Foot: One leg may feel cooler than the other due to poor circulation.
Sores or Ulcers: Persistent sores, ulcers, or wounds on the toes, feet, or legs that heal slowly or not at all.
Change in Leg Color: The skin on the legs may appear pale, bluish, or darkened.
Hair Loss on Legs: A decrease in hair growth on the legs and feet.
Shiny Skin on the Legs: The skin on the legs may become shiny due to a lack of hair and dry skin.
Weak or Absent Pulse: A weak or absent pulse in the legs or feet can be detected by a healthcare provider.
Pain at Rest: In more severe cases, pain may occur in the legs and feet even at rest, especially when lying down (ischemic rest pain).
Less Common Symptoms
Erectile Dysfunction in Men: Reduced blood flow can affect sexual function in men.
Tingling or Burning Sensations: Abnormal sensations in the legs due to nerve damage from poor circulation.
When to Seek Medical Help
If you experience any of the above symptoms, especially pain while walking that improves with rest, it is important to seek medical evaluation. Early diagnosis and management can prevent the progression of the disease and reduce the risk of complications like critical limb ischemia or amputation.",1.3333333333333333,2.0,1.0,1.0,2.0,1.0,,,4.666666666666667,5.0,4.333333333333333,4.0,4.333333333333333,4.0,True
PAOD_SS2,PAOD,natural_history,symptoms,WHAT IS THE RISK OF AMPUTATION IN PATIENTS WITH LEG ARTERY DISEASE?,"The risk of amputation in patients with leg artery disease, or peripheral artery disease (PAD), varies depending on the severity of the disease, the presence of other health conditions, and the effectiveness of the treatment and management strategies. Here are some key points regarding the risk of amputation:

General Risk Factors for Amputation
Severity of PAD: Patients with more severe PAD, particularly those with critical limb ischemia (CLI), are at a higher risk of amputation. CLI is an advanced stage of PAD characterized by chronic pain at rest, non-healing wounds, or gangrene.
Diabetes: Diabetic patients with PAD have a significantly higher risk of amputation due to poor wound healing and a higher incidence of foot ulcers and infections.
Smoking: Continued smoking exacerbates PAD and increases the risk of complications, including amputation.
Infection: Infections, particularly in wounds or ulcers, can progress rapidly and lead to tissue death, necessitating amputation.
Lack of Treatment: Inadequate or delayed treatment for PAD can lead to worsening of the condition and increase the risk of needing an amputation.
Statistics on Amputation Risk
Critical Limb Ischemia (CLI): About 20-30% of patients with CLI may require an amputation within 1 year of diagnosis if they do not receive appropriate treatment.
Diabetic Patients: Among diabetic patients with PAD, the risk of amputation is significantly higher compared to non-diabetic patients. Studies suggest that diabetic patients with PAD are up to 10 times more likely to require an amputation.
Overall Risk: The overall annual risk of major amputation in patients with PAD is estimated to be around 1-3%, but this rate increases significantly in those with severe disease or additional risk factors.",1.6666666666666667,2.0,0.6666666666666666,1.0,1.3333333333333333,0.0,,,3.6666666666666665,4.0,4.333333333333333,5.0,4.0,3.0,True
